No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
1,Aek Kanopan,Kab. Labuhanbatu Utara,Sumatera Utara,"Aek Kanopan, Kab. Labuhanbatu Utara","Kab. Labuhanbatu Utara, Sumut","Aek Kanopan, Kab. Labuhanbatu Utara, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
2,Agats,Kab. Asmat,Papua Selatan,"Agats, Kab. Asmat","Kab. Asmat, Pasel","Agats, Kab. Asmat, Papua",Pasel,Merauke,580.000,5.673.000,4.877.000,3.706.000,1.526.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
3,Aimas,Kab. Sorong,Papua Barat Daya,"Sorong, Kab. Sorong","Kab. Sorong, PBD","Sorong, Kab. Sorong, Papua Barat",PBD,Sorong,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,51.000,0,0,0,190.000,140.000
4,Airmadidi,Kab. Minahasa Utara,Sulawesi Utara,"Airmadidi, Kab. Minahasa Utara","Kab. Minahasa Utara, Sulut","Airmadidi, Kab. Minahasa Utara, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
5,Ambon,Ambon,Maluku,Ambon,"Ambon, Maluku","Ambon, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
6,Ampana,Kab. Tojo Una-Una,Sulawesi Tengah,"Ampana, Kab. Tojo Una-Una","Kab. Tojo Una-Una, Sulteng","Ampana, Kab. Tojo Una-Una, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
7,Amuntai,Kab. Hulu Sungai Utara,Kalimantan Selatan,"Amuntai, Kab. Hulu Sungai Utara","Kab. Hulu Sungai Utara, Kalsel","Amuntai, Kab. Hulu Sungai Utara, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
8,Amurang,Kab. Minahasa Selatan,Sulawesi Utara,"Amurang, Kab. Minahasa Selatan","Kab. Minahasa Selatan, Sulut","Amurang, Kab. Minahasa Selatan, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
9,Andolo,Kab. Konawe Selatan,Sulawesi Tenggara,"Andolo, Kab. Konawe Selatan","Kab. Konawe Selatan, Sultra","Andolo, Kab. Konawe Selatan, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
10,Anggi,Kab. Pegunungan Arfak,Papua Barat,"Anggi, Kab. Pegunungan Arfak","Kab. Pegunungan Arfak, Pabar","Anggi, Kab. Pegunungan Arfak, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
11,Arga Makmur,Kab. Bengkulu Utara,Bengkulu,"Arga Makmur, Kab. Bengkulu Utara","Kab. Bengkulu Utara, Bengkulu","Arga Makmur, Kab. Bengkulu Utara, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
12,Arosuka,Kab. Solok,Sumatera Barat,"Arosuka, Kab. Solok","Kab. Solok, Sumbar","Arosuka, Kab. Solok, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
13,Atambua,Kab. Belu,Nusa Tenggara Timur,"Atambua, Kab. Belu","Kab. Belu, NTT","Atambua, Kab. Belu, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
14,Baa,Kab. Rote Ndao,Nusa Tenggara Timur,"Baa, Kab. Rote Ndao","Kab. Rote Ndao, NTT","Baa, Kab. Rote Ndao, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
15,Bajawa,Kab. Ngada,Nusa Tenggara Timur,"Bajawa, Kab. Ngada","Kab. Ngada, NTT","Bajawa, Kab. Ngada, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
16,Balige,Kab. Toba Samosir,Sumatera Utara,"Balige, Kab. Toba Samosir","Kab. Toba Samosir, Sumut","Balige, Kab. Toba Samosir, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
17,Balikpapan,Balikpapan,Kalimantan Timur,Balikpapan,"Balikpapan, Kaltim","Balikpapan, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
18,Banda Aceh,Banda Aceh,Aceh,Banda Aceh,"Banda Aceh, Aceh","Banda Aceh, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
19,Bandar Lampung,Bandar Lampung,Lampung,Bandar Lampung,"Bandar Lampung, Lampung","Bandar Lampung, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
20,Bandar Seri Bentan,Kab. Bintan,Kep. Riau,"Bandar Seri Bentan, Kab. Bintan","Kab. Bintan, Kepulauan Riau","Bandar Seri Bentan, Kab. Bintan, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
21,Bandung,Bandung,Jawa Barat,Bandung,"Bandung, Jabar","Bandung, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,160.000,160.000,0,0,0,160.000,170.000,130.000
22,Banggai,Kab. Banggai Kepulauan,Sulawesi Tengah,"Banggai, Kab. Banggai Kepulauan","Kab. Banggai Kepulauan, Sulteng","Banggai, Kab. Banggai Kepulauan, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,170.000,110.000
23,Banggai,Kab. Luwuk,Sulawesi Tengah,"Banggai, Kab. Luwuk","Kab. Luwuk, Sulteng","Banggai, Kab. Luwuk, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,140.000,110.000
24,Bangkalan,Kab. Bangkalan,Jawa Timur,"Bangkalan, Kab. Bangkalan","Kab. Bangkalan, Jatim","Bangkalan, Kab. Bangkalan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
25,Bangkinang,Kab. Kampar,Riau,"Bangkinang, Kab. Kampar","Kab. Kampar, Riau","Bangkinang, Kab. Kampar, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
26,Bangko,Kab. Merangin,Jambi,"Bangko, Kab. Merangin","Kab. Merangin, Jambi","Bangko, Kab. Merangin, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
27,Bangli,Kab. Bangli,Bali,"Bangli, Kab. Bangli","Kab. Bangli, Bali","Bangli, Kab. Bangli, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
28,Banjar,Banjar,Jawa Barat,Banjar,"Banjar, Jabar","Banjar, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,160.000,160.000,0,0,0,160.000,170.000,130.000
29,Banjarbaru,Banjarbaru,Kalimantan Selatan,Banjarbaru,"Banjarbaru, Kalsel","Banjarbaru, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,140.000,110.000
30,Banjarmasin,Banjarmasin,Kalimantan Selatan,Banjarmasin,"Banjarmasin, Kalsel","Banjarmasin, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,140.000,110.000
31,Banjarnegara,Kab. Banjarnegara,Jawa Tengah,"Banjarnegara, Kab. Banjarnegara","Kab. Banjarnegara, Jateng","Banjarnegara, Kab. Banjarnegara, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
32,Bantaeng,Kab. Bantaeng,Sulawesi Selatan,"Bantaeng, Kab. Bantaeng","Kab. Bantaeng, Sulsel","Bantaeng, Kab. Bantaeng, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,140.000,130.000
33,Bantul,Kab. Bantul,DI Yogyakarta,"Bantul, Kab. Bantul","Kab. Bantul, D.I.Yogyakarta","Bantul, Kab. Bantul, DI Yogyakarta",D.I.Yogyakarta,Yogyakarta,420.000,5.017.000,2.695.000,1.495.000,845.000,130.000,95.000,4.107.000,2.268.000,75.000,0,0,680.000,170.000,130.000
34,Banyuwangi,Kab. Banyuwangi,Jawa Timur,"Banyuwangi, Kab. Banyuwangi","Kab. Banyuwangi, Jatim","Banyuwangi, Kab. Banyuwangi, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,50.000,0,0,700.000,160.000,120.000
35,Barabai,Kab. Hulu Sungai Tengah,Kalimantan Selatan,"Barabai, Kab. Hulu Sungai Tengah","Kab. Hulu Sungai Tengah, Kalsel","Barabai, Kab. Hulu Sungai Tengah, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,140.000,110.000
36,Barru,Kab. Barru,Sulawesi Selatan,"Barru, Kab. Barru","Kab. Barru, Sulsel","Barru, Kab. Barru, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,140.000,130.000
37,Batam,Batam,Kep. Riau,Batam,"Batam, Kepulauan Riau","Batam, Kep. Riau",Kepulauan Riau,Tanjung Pinang,370.000,5.772.000,2.318.000,1.297.000,792.000,130.000,95.000,4.867.000,2.888.000,70.000,0,0,0,150.000,110.000
38,Batang,Kab. Batang,Jawa Tengah,"Batang, Kab. Batang","Kab. Batang, Jateng","Batang, Kab. Batang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
39,Batu,Batu,Jawa Timur,Batu,"Batu, Jatim","Batu, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,51.000,0,0,500.000,160.000,120.000
40,Batulicin,Kab. Tanah Bumbu,Kalimantan Selatan,"Batulicin, Kab. Tanah Bumbu","Kab. Tanah Bumbu, Kalsel","Batulicin, Kab. Tanah Bumbu, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,140.000,110.000
41,Baturaja,Kab. Ogan Komering Ulu,Sumatera Selatan,"Baturaja, Kab. Ogan Komering Ulu","Kab. Ogan Komering Ulu, Sumsel","Baturaja, Kab. Ogan Komering Ulu, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
42,Batusangkar,Kab. Tanah Datar,Sumatera Barat,"Batusangkar, Kab. Tanah Datar","Kab. Tanah Datar, Sumbar","Batusangkar, Kab. Tanah Datar, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
43,Bau-bau,Bau-bau,Sulawesi Tenggara,Bau-bau,"Bau-bau, Sultra","Bau-bau, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
44,Bekasi,Bekasi,Jawa Barat,Bekasi,"Bekasi, Jabar","Bekasi, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,150.000,150.000,0,0,0,150.000,0,0
45,Belopa,Kab. Luwu,Sulawesi Selatan,"Belopa, Kab. Luwu","Kab. Luwu, Sulsel","Belopa, Kab. Luwu, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
46,Bengkalis,Kab. Bengkalis,Riau,"Bengkalis, Kab. Bengkalis","Kab. Bengkalis, Riau","Bengkalis, Kab. Bengkalis, Riau",Riau,Pekanbaru,370.000,3.820.000,3.119.000,1.650.000,852.000,130.000,95.000,5.583.000,3.016.000,70.000,0,0,0,150.000,110.000
47,Bengkayang,Kab. Bengkayang,Kalimantan Barat,"Bengkayang, Kab. Bengkayang","Kab. Bengkayang, Kalbar","Bengkayang, Kab. Bengkayang, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
48,Bengkulu,Bengkulu,Bengkulu,Bengkulu,"Bengkulu, Bengkulu","Bengkulu, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
49,Benteng,Kab. Kep. Selayar,Sulawesi Selatan,"Benteng, Kab. Kep. Selayar","Kab. Kep. Selayar, Sulsel","Benteng, Kab. Kep. Selayar, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
50,Betun,Kab. Betun,Nusa Tenggara Timur,"Betun, Kab. Betun","Kab. Betun, NTT","Betun, Kab. Betun, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
51,Biak,Kab. Biak Numfor,Papua,"Biak, Kab. Biak Numfor","Kab. Biak Numfor, Papua","Biak, Kab. Biak Numfor, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.065.000,7.519.000,70.000,0,0,0,230.000,170.000
52,Bima,Bima,Nusa Tenggara Barat,Bima,"Bima, NTB","Bima, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
53,Binjai Kota,Binjai Kota,Sumatera Utara,Binjai Kota,"Binjai Kota, Sumut","Binjai Kota, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
54,Bintuhan - Kaur Selatan,Kab. Kaur,Bengkulu,"Bintuhan - Kaur Selatan, Kab. Kaur","Kab. Kaur, Bengkulu","Bintuhan - Kaur Selatan, Kab. Kaur, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
55,Bintuni,Kab. Teluk Bintuni,Papua Barat,"Bintuni, Kab. Teluk Bintuni","Kab. Teluk Bintuni, Pabar","Bintuni, Kab. Teluk Bintuni, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
56,Bireuen,Kab. Bireuen,Aceh,"Bireuen, Kab. Bireuen","Kab. Bireuen, Aceh","Bireuen, Kab. Bireuen, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
57,Bitung,Bitung,Sulawesi Utara,Bitung,"Bitung, Sulut","Bitung, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
58,Blambangan Umpu,Kab. Way Kanan,Lampung,"Blambangan Umpu, Kab. Way Kanan","Kab. Way Kanan, Lampung","Blambangan Umpu, Kab. Way Kanan, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
59,Blang Kejeren,Kab. Gayo Lues,Aceh,"Blang Kejeren, Kab. Gayo Lues","Kab. Gayo Lues, Aceh","Blang Kejeren, Kab. Gayo Lues, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
60,Blangpidie,Kab. Aceh Barat Daya,Aceh,"Blangpidie, Kab. Aceh Barat Daya","Kab. Aceh Barat Daya, Aceh","Blangpidie, Kab. Aceh Barat Daya, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
61,Blitar,Blitar,Jawa Timur,Blitar,"Blitar, Jatim","Blitar, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
62,Blora,Kab. Blora,Jawa Tengah,"Blora, Kab. Blora","Kab. Blora, Jateng","Blora, Kab. Blora, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
63,Bogor,Bogor,Jawa Barat,Bogor,"Bogor, Jabar","Bogor, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,600.000,600.000,0,0,0,500.000,0,0
64,Bojonegoro,Kab. Bojonegoro,Jawa Timur,"Bojonegoro, Kab. Bojonegoro","Kab. Bojonegoro, Jatim","Bojonegoro, Kab. Bojonegoro, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
65,Bolaang Uki,Kab. Bolaang Mongondow Selatan,Sulawesi Utara,"Bolaang Uki, Kab. Bolaang Mongondow Selatan","Kab. Bolaang Mongondow Selatan, Sulut","Bolaang Uki, Kab. Bolaang Mongondow Selatan, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
66,Bondowoso,Kab. Bondowoso,Jawa Timur,"Bondowoso, Kab. Bondowoso","Kab. Bondowoso, Jatim","Bondowoso, Kab. Bondowoso, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,53.000,0,0,500.000,160.000,120.000
67,Bontang,Bontang,Kalimantan Timur,Bontang,"Bontang, Kaltim","Bontang, Kalimantan Timur",Kaltim,Samarinda,430.000,4.000.000,2.188.000,1.507.000,804.000,130.000,95.000,7.412.000,3.797.000,115.000,0,0,0,170.000,130.000
68,Boroko,Kab. Bolaang Mongondow Utara,Sulawesi Utara,"Boroko, Kab. Bolaang Mongondow Utara","Kab. Bolaang Mongondow Utara, Sulut","Boroko, Kab. Bolaang Mongondow Utara, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
69,Borong,Kab. Manggarai Timur,Nusa Tenggara Timur,"Borong, Kab. Manggarai Timur","Kab. Manggarai Timur, NTT","Borong, Kab. Manggarai Timur, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
70,Botawa,Kab. Waropen,Papua,"Botawa, Kab. Waropen","Kab. Waropen, Papua","Botawa, Kab. Waropen, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
71,Boyolali,Kab. Boyolali,Jawa Tengah,"Boyolali, Kab. Boyolali","Kab. Boyolali, Jateng","Boyolali, Kab. Boyolali, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
72,Brebes,Kab. Brebes,Jawa Tengah,"Brebes, Kab. Brebes","Kab. Brebes, Jateng","Brebes, Kab. Brebes, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
73,Bukittinggi,Bukittinggi,Sumatera Barat,Bukittinggi,"Bukittinggi, Sumbar","Bukittinggi, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
74,Bula,Kab. Seram Bag. Timur,Maluku,"Bula, Kab. Seram Bag. Timur","Kab. Seram Bag. Timur, Maluku","Bula, Kab. Seram Bag. Timur, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
75,Bulukumba,Kab. Bulukumba,Sulawesi Selatan,"Bulukumba, Kab. Bulukumba","Kab. Bulukumba, Sulsel","Bulukumba, Kab. Bulukumba, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
76,Bungku,Kab. Morowali,Sulawesi Tengah,"Bungku, Kab. Morowali","Kab. Morowali, Sulteng","Bungku, Kab. Morowali, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
77,Buntok,Kab. Barito Selatan,Kalimantan Tengah,"Buntok, Kab. Barito Selatan","Kab. Barito Selatan, Kalteng","Buntok, Kab. Barito Selatan, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,65.000,0,0,0,140.000,110.000
78,Buol,Kab. Buol,Sulawesi Tengah,"Buol, Kab. Buol","Kab. Buol, Sulteng","Buol, Kab. Buol, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
79,Buranga,Kab. Buton Utara,Sulawesi Tenggara,"Buranga, Kab. Buton Utara","Kab. Buton Utara, Sultra","Buranga, Kab. Buton Utara, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
80,Burmeso,Kab. Mamberamo Raya,Papua,"Burmeso, Kab. Mamberamo Raya","Kab. Mamberamo Raya, Papua","Burmeso, Kab. Mamberamo Raya, Papua",Papua,Jayapura,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
81,Calang,Kab. Aceh Jaya,Aceh,"Calang, Kab. Aceh Jaya","Kab. Aceh Jaya, Aceh","Calang, Kab. Aceh Jaya, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
82,Ciamis,Kab. Ciamis,Jawa Barat,"Ciamis, Kab. Ciamis","Kab. Ciamis, Jabar","Ciamis, Kab. Ciamis, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,160.000,160.000,0,0,0,160.000,170.000,0
83,Cianjur,Kab. Cianjur,Jawa Barat,"Cianjur, Kab. Cianjur","Kab. Cianjur, Jabar","Cianjur, Kab. Cianjur, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,160.000,160.000,0,0,0,160.000,170.000,130.000
84,Ciawi,Kab. Bogor,Jawa Barat,"Ciawi, Kab. Bogor","Kab. Bogor, Jabar","Ciawi, Kab. Bogor, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,500.000,500.000,0,0,0,500.000,0,0
85,Cibinong,Kab. Bogor,Jawa Barat,"Cibinong, Kab. Bogor","Kab. Bogor, Jabar","Cibinong, Kab. Bogor, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,500.000,500.000,0,0,0,500.000,0,0
86,Cibitung,Kab. Karawang,Jawa Barat,"Cibitung, Kab. Karawang","Kab. Karawang, Jabar","Cibitung, Kab. Karawang, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,450.000,450.000,0,0,0,450.000,0,0
87,Cikarang,Kab. Bekasi,Jawa Barat,"Cikarang, Kab. Bekasi","Kab. Bekasi, Jabar","Cikarang, Kab. Bekasi, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,568.000,568.000,0,0,0,568.000,0,0
